flaeche,last_kW,geometry,nodes,building,building:levels,power,ways,Erzeugungsleistung,Netzanschluss
1918.6869991183173,13.143005943960475,"POLYGON ((507144.75172195415 5407367.834284103, 507147.1010952803 5407367.559383578, 507150.1119977987 5407366.607242757, 507163.52165158425 5407390.913294989, 507161.4150639876 5407402.226878243, 507175.0068385141 5407404.645410569, 507177.2877986638 5407389.041206246, 507182.82642321714 5407386.113647996, 507154.4751954186 5407335.732048481, 507107.9832243496 5407361.251074806, 507116.35326202016 5407377.257926489, 507140.6671813556 5407364.52755456, 507142.14041435 5407366.2857954735, 507144.75172195415 5407367.834284103))","[339409943, 945446319, 945446340, 339409944, 945446326, 945446339, 945446331, 339409945, 339409946, 339409947, 339409948, 945446345, 945446325, 339409943]",yes,1,,,35.6,"Niederspannung (= Hausanschluss/Haushaltsstrom),"
1234.3423535040017,8.455245121502411,"POLYGON ((506958.62726825033 5407740.147532102, 506976.4942800624 5407739.380561864, 507000.20328832924 5407774.415120328, 507013.97108644724 5407764.583434872, 506987.0764863191 5407723.664365926, 506983.56370573025 5407721.114365371, 506980.46699531213 5407720.421291661, 506957.4900796561 5407722.026715229, 506958.62726825033 5407740.147532102))","[473066153, 271209347, 271209349, 271209397, 1420047660, 1420047658, 271209399, 271209402, 473066153]",office,1,,,0.0,
2406.672058190794,16.48570359860694,"POLYGON ((507669.237519336 5407795.302524289, 507668.44695460773 5407799.0698314365, 507634.207667343 5407791.930808766, 507638.35254178353 5407772.138519884, 507687.4294894601 5407782.366033294, 507694.6630463499 5407747.837954359, 507749.83804405975 5407759.330547, 507746.8455024949 5407773.588483109, 507736.86576318456 5407771.507042116, 507736.11949822516 5407775.052076985, 507725.3105512269 5407772.802765605, 507723.9362170989 5407779.359424258, 507708.7978308528 5407776.203749345, 507710.445528406 5407768.346868758, 507702.05813630635 5407766.590057403, 507698.3415777845 5407784.337508514, 507694.92062196723 5407800.651379642, 507669.237519336 5407795.302524289))","[540156987, 1048950200, 1048950229, 1048950213, 1048950238, 540156988, 540156989, 540156990, 540156991, 540156992, 540156993, 540156995, 540156996, 1048950228, 540156997, 540156998, 540156999, 540156987]",yes,1,,,0.0,
23.665645212725295,0.16210966970716828,"POLYGON ((507003.3228731991 5408055.481035145, 507003.49017291464 5408050.83467217, 507008.57641978015 5408051.018909491, 507008.4091158393 5408055.665272319, 507005.8403053393 5408055.57312094, 507003.3228731991 5408055.481035145))","[571129510, 571129511, 571129513, 571129515, 571129517, 571129510]",yes,1,,,0.0,
1234.5271786418748,8.456511173696843,"POLYGON ((506964.9760717515 5408099.697818729, 506963.5669938113 5408129.020607091, 507005.81937525456 5408130.796442497, 507007.10359265306 5408101.7180641, 506964.9760717515 5408099.697818729))","[571425861, 571425862, 571425863, 571425864, 571425861]",yes,1,,,0.0,
6348.845701179182,19.046537103537545,"POLYGON ((507853.97083631274 5408126.521909251, 507922.3572094567 5408135.189061128, 507923.16621979576 5408128.853969672, 507945.0419079727 5408131.630739513, 507948.151914143 5408107.257318552, 507928.3088700354 5408104.739093777, 507929.76370495476 5408093.2914645355, 507936.0600555358 5408094.100771695, 507940.2611206229 5408061.1916506, 507889.2440727013 5408054.71644276, 507890.22375574685 5408047.0476436075, 507855.34387765406 5408042.62982454, 507854.13411432784 5408052.143596475, 507863.31457132567 5408053.3014790425, 507854.5348723778 5408122.09845149, 507853.97083631274 5408126.521909251))","[573963443, 573963462, 573963461, 573963463, 573963457, 573963456, 573963455, 573963459, 573963460, 573963437, 573963439, 573963436, 573963440, 573963438, 1368109942, 573963443]",warehouse,1,,,0.0,
8395.988963417267,83.95988963417267,"POLYGON ((507747.44949997205 5408110.843836849, 507807.8290710744 5408119.176118291, 507816.1851187936 5408058.993541429, 507755.3646146727 5408050.593862717, 507758.56747922796 5408027.4988338, 507691.6482992417 5408018.257669088, 507683.3528637154 5408077.995860348, 507710.9671218327 5408081.813414652, 507708.9061965567 5408096.650706252, 507748.6579437856 5408102.141522686, 507747.44949997205 5408110.843836849))","[573963431, 573963441, 573963442, 573963428, 573963426, 573963402, 573963427, 573963433, 573963432, 573963429, 573963431]",yes,1,,,950.0,"Umspannebene Mittelspannung/Niederspannung,"
1144.1186851891239,15.674425987090997,"POLYGON ((507649.3158224259 5408047.701959524, 507676.4318199513 5408051.029547328, 507681.5680954143 5408009.473115124, 507654.4519143344 5408006.134386633, 507649.3158224259 5408047.701959524))","[573963415, 573963414, 573963404, 573963403, 573963415]",office,2,,,0.0,
1725.987503958562,11.82301440211615,"POLYGON ((507600.382494649 5408090.03238625, 507640.12073280936 5408094.7776258085, 507644.19144483627 5408064.669391913, 507630.90726849716 5408047.943575207, 507605.8762449945 5408044.241095476, 507600.382494649 5408090.03238625))","[573963420, 573963421, 573963423, 573963422, 573963419, 573963420]",yes,1,,,0.0,
14277.0743866936,42.8312231600808,"POLYGON ((507541.9567508673 5408047.544887051, 507549.466582759 5408019.486612685, 507551.3297114931 5408020.367310685, 507552.5063892583 5408024.092829705, 507555.3998153779 5408028.3875967385, 507560.04200662434 5408031.284089556, 507566.4414176196 5408031.95972479, 507570.95031989325 5408030.298402217, 507574.72581620683 5408028.213673126, 507577.62408035045 5408023.515448633, 507579.1797040071 5408018.415220768, 507578.7832061782 5408013.112253327, 507575.76537452807 5408008.550516668, 507570.98335391906 5408005.920610336, 507562.02964785934 5408005.241512223, 507557.1757404539 5408006.913491506, 507554.28067136434 5408009.255095459, 507553.40532192995 5408010.665669924, 507551.99694470916 5408010.019026208, 507556.65926677245 5407992.617354347, 507435.82167793787 5407960.4627935495, 507431.1744301303 5407977.831235982, 507413.36679524294 5407973.0943092145, 507409.7523389032 5407986.595701342, 507416.96489140077 5407988.517258393, 507403.15625827975 5408040.122594462, 507417.7279760826 5408043.999244759, 507415.4117433992 5408052.689041869, 507457.8419419434 5408064.550928318, 507457.21512404026 5408066.751100206, 507455.4305795979 5408072.984909545, 507470.5824618193 5408076.528986245, 507472.1680457584 5408070.895190646, 507472.7432826157 5408068.850578289, 507554.92043006397 5408089.792866117, 507564.61390544643 5408053.5671526035, 507541.9567508673 5408047.544887051))","[573963399, 573963393, 573963379, 573963380, 573963381, 573963382, 573963383, 573963384, 573963385, 573963386, 573963387, 573963388, 573963389, 573963376, 573963377, 573963390, 573963391, 573963392, 573963394, 573963378, 573963363, 573963365, 573963369, 573963370, 573963364, 573963366, 573963368, 573963367, 1383285285, 7213695059, 1383285293, 1383285299, 7213695060, 1383285287, 573963401, 573963400, 573963399]",yes,1,,,0.0,
